Ticker,Price,Market Cap,Volume,P/E Ratio,Dividend Yield,52W High,52W Low,Beta,Sector,Industry
AAPL,271.49,4029017227264,55524271,36.344044,0.38,277.32,169.21,1.109,Technology,Consumer Electronics
ABNB,114.26,69954043904,6615869,27.204763,,163.93,99.88,1.112,Consumer Cyclical,Travel Services
A,151.25,42964791296,2468420,35.338783,0.67,153.84,96.43,1.279,Healthcare,Diagnostics & Research
AA,36.34,9410752512,5180688,7.986813,1.1,47.77,21.53,2.007,Basic Materials,Aluminum
AAL,12.87,8495312896,63957594,14.793103,,19.1,8.5,1.269,Industrials,Airlines
AAON,91.52,7471148544,1156271,75.63636,0.44,142.2,62.0,1.051,Industrials,Building Products & Equipment
ACHR,7.18,4676632576,58808441,-7.252525,,14.62,5.48,3.073,Industrials,Aerospace & Defense
AAP,51.7,3103150080,1299839,19.21933,1.93,70.0,28.89,1.171,Consumer Cyclical,Auto Parts
ABR,8.52,1805255168,2539960,10.78481,14.08,15.05,8.18,1.326,Real Estate,REIT - Mortgage
AAOI,20.58,1405200128,5935796,28.19178,,44.5,9.711,3.219,Technology,Communication Equipment
